City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,jodhpur,26.2867,73.03,29.33,76,100,4.18,IN,1690428093
272,broken hill,-31.95,141.4333,19.89,31,9,9.06,AU,1690427940
273,olonkinbyen,70.9221,-8.7187,4.64,89,100,4.61,SJ,1690428093
274,las trojes,14.0667,-85.9833,19.51,93,100,1.32,HN,1690428094
275,youkounkoun,12.5333,-13.1333,23.78,97,96,1.9,GN,1690428094
276,berriane,32.8265,3.7669,31.45,19,0,3.43,DZ,1690428095
277,ratnagiri,16.9833,73.3,25.24,93,100,5.98,IN,1690427853
278,sitka,57.0531,-135.33,15.94,82,100,0.0,US,1690428095
279,tambuwal,12.4039,4.6469,26.96,72,89,4.48,NG,1690428053
280,newman,37.3138,-121.0208,33.13,37,0,0.45,US,1690428095
281,salekhard,66.53,66.6019,16.83,93,100,4.56,RU,1690428096
282,darwin,-12.4611,130.8418,28.99,37,0,2.06,AU,1690428096
283,magadan,59.5667,150.8,16.41,98,100,2.82,RU,1690428096
284,arkhangel'sk,64.5401,40.5433,15.38,83,100,1.39,RU,1690428097
285,codrington,-38.2667,141.9667,15.31,63,2,8.03,AU,1690428097
286,marquette,46.5333,-87.6335,17.31,96,2,1.21,US,1690428097
287,vorgashor,67.5833,63.95,13.9,86,100,1.14,RU,1690428098
288,kievka,50.2619,71.5514,20.79,62,3,7.71,KZ,1690428098
289,wongsorejo,-7.9908,114.4009,28.45,59,22,4.3,ID,1690427992
290,pacific grove,36.6177,-121.9166,17.99,91,100,3.6,US,1690427818
291,safotu,-13.4513,-172.4018,26.78,78,50,5.95,WS,1690428099
292,cockburn town,21.4612,-71.1419,28.41,83,69,9.88,TC,1690428099
293,labuan,5.2767,115.2417,30.2,74,20,2.24,MY,1690428100
294,cidreira,-30.1811,-50.2056,14.74,83,53,6.35,BR,1690428100
295,belen,36.4891,36.2233,22.08,73,0,6.17,TR,1690428100
296,kansk,56.2017,95.7175,21.44,70,98,3.75,RU,1690428101
297,jaisalmer,26.9147,70.9181,30.04,73,96,6.72,IN,1690428101
298,chichiriviche,10.9333,-68.2772,26.97,88,94,4.59,VE,1690428101
299,coahuayana de hidalgo,18.7,-103.6583,27.3,83,82,1.06,MX,1690428102
300,tatarsk,55.219,75.9828,21.23,62,99,1.76,RU,1690428102
301,taoudenni,22.6783,-3.9836,36.79,25,26,3.79,ML,1690428102
302,lebu,-37.6167,-73.65,8.64,85,90,0.19,CL,1690427840
303,vernon,50.2581,-119.2691,23.2,33,2,1.34,CA,1690428102
304,preobrazheniye,42.9019,133.9064,26.08,70,90,2.97,RU,1690428103
305,boyolangu,-8.1181,111.8935,28.32,100,50,3.48,ID,1690427883
306,uturoa,-16.7333,-151.4333,25.78,83,50,3.62,PF,1690428103
307,nar'yan-mar,67.6713,53.087,19.07,63,84,1.29,RU,1690428104
308,christchurch,-43.5333,172.6333,11.9,57,19,7.72,NZ,1690428000
309,miles city,46.4083,-105.8406,30.54,19,0,2.57,US,1690428104
310,corner brook,48.9667,-57.9484,19.09,99,43,2.31,CA,1690427863
311,hami,42.8,93.45,36.24,9,0,3.51,CN,1690428105
312,mahibadhoo,3.7833,72.9667,28.25,77,23,3.09,MV,1690428105
313,touros,-5.1989,-35.4608,23.62,90,35,4.81,BR,1690428105
314,siwa oasis,29.2041,25.5195,29.04,32,2,2.35,EG,1690428106
315,dudinka,69.4058,86.1778,26.46,57,66,2.3,RU,1690428106
316,sao luis,-2.5297,-44.3028,26.11,89,20,2.06,BR,1690428106
317,balikpapan,-1.2675,116.8289,28.55,84,20,4.12,ID,1690428106
318,khanty-mansiysk,61.0042,69.0019,18.06,77,0,4.02,RU,1690428107
319,san rafael,-34.6177,-68.3301,9.19,48,100,3.33,AR,1690428107
320,kerikeri,-35.2268,173.9474,16.06,82,19,2.24,NZ,1690428107
321,constantia,44.1833,28.65,21.5,88,99,6.89,RO,1690427922
322,cururupu,-1.8283,-44.8683,23.92,89,28,1.9,BR,1690428108
323,aldinga beach,-35.2793,138.4604,17.59,62,94,6.51,AU,1690428108
324,rimouski,48.4488,-68.524,23.1,69,100,5.39,CA,1690428109
325,severo-yeniseyskiy,60.3725,93.0408,16.33,92,100,1.17,RU,1690428109
326,waingapu,-9.6567,120.2641,27.64,54,6,4.54,ID,1690427889
327,vitebsk,55.1905,30.2033,14.78,80,100,1.57,BY,1690428110
328,south venice,27.0531,-82.4243,26.1,93,40,1.54,US,1690428110
329,rehoboth,-23.3167,17.0833,10.86,28,0,1.32,NA,1690428012
330,amasra,41.7463,32.3863,20.03,45,0,4.98,TR,1690428111
331,kirakira,-10.4544,161.9205,27.95,81,100,6.44,SB,1690428111
332,quang ngai,15.1167,108.8,33.8,53,50,1.08,VN,1690427829
333,hillsboro,45.5229,-122.9898,25.67,48,0,4.12,US,1690428111
334,tual,-5.6667,132.75,25.94,82,47,9.44,ID,1690427872
335,thunder bay,48.4001,-89.3168,16.99,94,66,0.51,CA,1690428112
336,namdrik,5.5994,168.1028,28.42,69,89,0.49,MH,1690428112
337,port lincoln,-34.7333,135.8667,18.32,58,100,9.15,AU,1690428113
338,porbandar,21.6422,69.6093,27.82,84,100,7.84,IN,1690427874
339,gazojak,41.1875,61.4036,32.05,29,80,8.15,TM,1690428113
340,simplicio mendes,-7.8539,-41.9103,21.97,46,14,2.89,BR,1690428113
